Unique Well Identifier,Status,Surface Latitude,Surface Longitude
100/01-10-045-07W4/0,Closed,52.858489,-110.924107
100/01-10-050-06W4/0,Closed,53.295275,-110.787612
104/01-11-012-13W4/0,Closed,49.975588,-111.666774
100/01-11-012-13W4/0,Closed,49.975850,-111.670094
102/01-11-012-13W4/0,Closed,49.975671,-111.669588
100/01-11-017-24W4/0,Closed,50.414980,-113.189449
100/01-11-019-24W4/0,Closed,50.589442,-113.214271
100/01-11-021-28W4/0,Closed,50.762690,-113.768082
100/01-11-040-26W4/0,Closed,52.422733,-113.628163
100/01-11-042-16W4/0,Closed,52.597320,-112.193409
102/01-11-045-03W5/0,Closed,52.861429,-114.320774
1A0/01-11-051-01W4/0,Closed,53.381599,-110.031893
100/01-11-061-24W4/5,Active,54.257370,-113.481257
100/01-11-085-21W5/0,Active,56.351141,-117.192296
100/01-11-094-01W6/0,Active,57.134695,-118.034039
100/16-01-010-08W4/0,Closed,49.802265,-110.958276
100/01-12-019-27W4/0,Active,50.589634,-113.610369
100/01-12-028-21W4/0,Active,51.374568,-112.818627
100/13-06-031-08W5/2,Active,51.635713,-115.137727
100/01-12-034-10W4/0,Closed,51.898281,-111.286098
100/01-12-038-16W4/0,Closed,52.246894,-112.150664
100/01-12-049-05W4/0,Closed,53.208255,-110.591345
102/01-12-055-04W4/0,Active,53.731605,-110.454030
100/01-12-064-14W4/0,Active,54.518199,-111.976889
100/01-12-090-19W5/0,Active,56.787437,-116.878533
100/01-13-012-16W4/0,Closed,49.991718,-112.055170
100/01-13-031-05W4/0,Closed,51.651974,-110.576881
1F1/01-13-048-07W5/0,Closed,53.135958,-114.880007
100/01-13-048-21W4/0,Closed,53.136096,-112.931283
100/01-13-051-12W4/0,Active,53.399885,-111.631734
100/01-13-087-08W6/0,Closed,56.538035,-119.122064
100/01-14-004-05W4/0,Closed,49.292114,-110.570020
100/04-13-004-05W4/2,Closed,49.291102,-110.569332
100/01-14-010-16W4/0,Closed,49.817804,-112.061264
100/08-14-020-27W4/0,Closed,50.689467,-113.633776
102/01-14-026-12W4/0,Closed,51.215221,-111.565018
100/01-14-029-09W4/0,Active,51.477312,-111.158626
100/16-14-031-24W4/0,Active,51.651212,-113.292974
100/02-11-038-17W4/0,Active,52.261376,-112.319256
100/01-14-040-13W4/0,Closed,52.435579,-111.758551
100/01-14-045-01W4/0,Closed,52.872979,-110.032830
100/01-14-045-07W4/0,Closed,52.874819,-110.902023
100/01-14-046-08W4/0,Closed,52.963386,-111.048995
100/01-14-049-06W4/0,Active,53.220755,-110.762732
100/01-14-050-08W4/0,Closed,53.308637,-111.054423
100/01-14-051-06W4/0,Closed,53.398920,-110.768936
100/01-14-069-15W4/4,Active,54.967174,-112.167391
102/01-14-091-12W6/0,Active,56.889104,-119.804028
100/01-14-091-12W6/0,Active,56.889466,-119.804037
100/01-14-094-12W6/0,Active,57.151828,-119.801822
100/08-15-012-24W4/0,Closed,49.991341,-113.190214
100/01-15-075-07W6/2,Closed,55.493874,-118.988855
100/01-15-076-14W5/0,Closed,55.580685,-116.072368
100/01-15-086-11W6/0,Closed,56.450920,-119.638358
100/01-15-094-12W6/0,Active,57.149353,-119.829770
100/01-15-097-16W4/0,Active,57.412154,-112.502196
100/01-15-120-22W5/0,Active,59.418405,-117.687780
100/01-16-009-17W4/0,Closed,49.729774,-112.243167
100/01-16-010-16W4/0,Closed,49.817073,-112.107649
100/01-16-011-13W4/0,Closed,49.905349,-111.715055
100/01-16-016-23W4/0,Closed,50.341548,-113.098972
100/01-16-019-27W4/0,Active,50.601869,-113.679703
100/01-16-023-14W4/0,Closed,50.953125,-111.893251
100/01-16-027-09W4/0,Closed,51.301951,-111.202880
100/01-16-040-13W4/0,Active,52.434813,-111.806226
100/01-16-050-16W4/0,Closed,53.309381,-112.271326
100/01-16-053-04W4/2,Active,53.570533,-110.523199
100/04-15-053-04W4/2,Active,53.570533,-110.523048
100/01-17-011-05W4/0,Closed,49.905612,-110.646841
100/01-17-018-25W4/0,Closed,50.517288,-113.396518
100/01-17-018-29W4/0,Closed,50.516610,-113.947195
100/01-17-037-08W4/0,Active,52.175517,-111.104385
1D0/01-17-038-04W4/0,Closed,52.260597,-110.531329
100/01-17-038-04W4/0,Closed,52.260598,-110.532323
100/01-17-041-07W4/0,Active,52.521886,-110.969888
100/01-17-047-08W4/2,Active,53.047948,-111.131215
100/01-17-054-20W4/0,Closed,53.659796,-112.904645
100/01-17-110-03W6/0,Closed,58.547087,-118.453531
100/01-18-017-28W4/0,Closed,50.429858,-113.832406
100/01-18-035-09W4/0,Closed,51.998999,-111.269658
100/01-18-038-16W4/0,Closed,52.260165,-112.267550
100/01-18-039-09W4/0,Closed,52.347224,-111.282228
100/07-18-039-26W4/2,Active,52.348846,-113.725694
100/01-18-040-01W4/0,Closed,52.436081,-110.128346
100/01-18-042-24W4/0,Closed,52.611685,-113.436329
100/01-18-051-09W5/2,Closed,53.397755,-115.308553
100/01-18-079-08W5/0,Closed,55.843379,-115.228109
100/01-18-087-06W6/2,Active,56.539246,-118.936793
100/01-18-091-02W6/0,Closed,56.890090,-118.299911
100/01-19-010-12W4/0,Closed,49.830754,-111.609833
100/01-19-011-13W4/0,Active,49.920345,-111.761406
102/01-19-011-13W4/0,Active,49.917986,-111.758797
100/01-19-017-26W4/0,Closed,50.443857,-113.557267
102/14-18-022-25W4/0,Closed,50.880948,-113.448135
100/01-19-029-07W4/0,Closed,51.491925,-110.970220
