,record,sexe,age,NAISS,LANGUE,MINO,Q2r1,Q2r2,Q2r3,Q2r4,Q2r5,Q2r6,Q2r7,Q2r8,Q42,Q46,Q47,Q47B,Q52r1,Q52r2,Q52r3,Q52r4,Q52r5,Q52r6,Q52r7,Q52r8,Q52r9
544,717,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,4,5,4,5,3,5,5,5,8,Je ne sais pas,Non,Non,Non,Non,Non,Non,Non,Non
545,718,Un homme,De 55 à 64 ans,Oui,Français,Non,4,4,4,4,4,4,4,4,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
546,719,Une femme,De 65 à 74 ans,Oui,Français,Non,5,3,5,4,3,3,3,3,2,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
547,720,Une femme,De 18 à 24 ans,Oui,Français,Non,5,5,5,5,4,3,5,3,4,4,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
548,722,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,4,2,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
549,723,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,3,2,3,2,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
550,724,Une femme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,2,2,3,2,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
551,725,Une femme,De 35 à 44 ans,Oui,Français,Oui,5,5,5,5,5,5,5,5,4,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
552,726,Un homme,De 55 à 64 ans,Non,Français,Non,5,5,5,5,5,5,5,5,5,5,2,1,Non,Non,Non,Non,Non,Je ne sais pas,Non,Oui,Oui
553,727,Une femme,De 45 à 54 ans,Oui,Français,Non,4,4,4,4,4,4,4,4,4,2,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
554,728,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,3,2,2,2,4,1,4,2,Oui,Non,Non,Oui,Non,Non,Je ne sais pas,Oui,Non
555,729,Une femme,De 55 à 64 ans,Oui,Italien,Non,5,5,5,4,5,5,5,5,5,5,2,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
556,730,Une femme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,3,3,3,3,5,5,4,4,Non,Non,Non,Non,Non,Non,Non,Oui,Non
557,731,Une femme,De 18 à 24 ans,Oui,Français,Non,5,4,5,5,4,4,4,4,5,4,4,3,Non,Non,Non,Non,Non,Non,Oui,Non,Non
558,732,Une femme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,4,4,5,4,2,4,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
559,733,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,3,2,2,2,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
560,734,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
561,735,Une femme,De 35 à 44 ans,Oui,Grecque,Non,5,5,5,5,5,5,5,4,4,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
562,736,Un homme,De 45 à 54 ans,Oui,Anglais,Non,5,5,5,5,5,5,5,5,2,5,2,3,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Non,Je ne sais pas
563,737,Une femme,De 25 à 34 ans,Oui,Français,Oui,5,5,5,5,5,4,4,4,5,5,4,2,Non,Non,Non,Oui,Non,Non,Oui,Non,Non
564,738,Une femme,De 18 à 24 ans,Oui,Anglais,Non,5,5,5,5,5,5,5,5,5,2,4,2,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui
565,739,Une femme,De 18 à 24 ans,Oui,Français,Non,5,5,5,5,5,3,4,4,4,4,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
567,741,Un homme,De 35 à 44 ans,Oui,Anglais,Non,3,2,1,1,5,5,5,5,4,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
568,743,Un homme,75 ans ou plus,Oui,Français,Non,5,5,5,4,3,2,4,3,5,5,4,3,Non,Non,Non,Non,Non,Non,Oui,Non,Non
569,744,Une femme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,2,2,3,2,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
570,745,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,2,2,3,2,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
571,746,Un homme,De 45 à 54 ans,Non,Vietnamien,Oui,5,5,5,5,5,5,5,4,5,5,2,1,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Oui
572,747,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,4,4,3,3,3,5,5,5,3,Oui,Non,Non,Non,Non,Non,Oui,Non,Non
573,748,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,3,3,4,3,4,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
574,749,Une femme,De 65 à 74 ans,Oui,Français,Non,5,4,5,5,4,3,3,3,1,4,4,3,Non,Non,Non,Non,Non,Non,Oui,Non,Non
575,750,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,5,4,4,4,2,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
576,751,Une femme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,2,2,3,2,5,5,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
577,752,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
578,753,Une femme,De 25 à 34 ans,Non,Russe,Non,5,5,5,5,5,5,5,5,1,2,2,2,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non
579,755,Une femme,De 18 à 24 ans,Oui,Italien,Non,4,3,5,4,5,5,5,5,5,4,3,1,Oui,Non,Non,Non,Non,Non,Oui,Non,Non
580,757,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,3,2,3,2,5,4,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
581,758,Une femme,De 18 à 24 ans,Oui,Français,Non,5,5,5,5,3,2,2,3,5,5,5,2,Oui,Non,Non,Non,Non,Non,Oui,Non,Non
582,759,Un homme,De 25 à 34 ans,Non,Français,Non,5,5,5,5,3,3,3,2,5,5,2,2,Non,Non,Non,Non,Oui,Non,Non,Non,Non
583,760,Une femme,De 35 à 44 ans,Non,Espagnol,Oui,3,3,3,2,4,3,3,3,5,4,1,8,Non,Non,Non,Non,Non,Non,Non,Non,Non
584,761,Une femme,De 18 à 24 ans,Oui,Français,Non,5,5,5,5,4,4,5,5,5,4,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
585,762,Une femme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,5,4,5,4,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
586,763,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,3,3,2,2,5,2,2,3,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre
587,764,Un homme,De 45 à 54 ans,Oui,Anglais,Non,3,3,2,2,5,4,5,4,5,2,3,2,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non
588,765,Un homme,De 35 à 44 ans,Oui,Français,Non,5,4,5,4,3,3,3,3,5,2,4,2,Non,Non,Non,Je ne sais pas,Non,Non,Non,Non,Non
589,766,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
590,767,Une femme,De 18 à 24 ans,Non,Anglais,Non,4,4,4,4,4,4,4,4,5,4,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
591,768,Un homme,De 55 à 64 ans,Oui,Grecque,Non,3,3,3,2,5,5,5,5,3,5,2,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
592,769,Une femme,75 ans ou plus,Oui,Français,Non,5,5,5,5,3,3,4,4,5,4,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
593,771,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,4,3,3,3,3,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Oui
594,772,Un homme,De 55 à 64 ans,Oui,Français,Non,5,3,5,2,2,2,2,2,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
595,773,Une femme,De 55 à 64 ans,Oui,Anglais,Non,4,4,3,3,4,4,4,4,4,4,4,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
596,774,Une femme,De 45 à 54 ans,Oui,Italien,Non,4,4,4,4,5,5,5,5,5,2,1,1,Non,Non,Non,Non,Non,Non,Oui,Non,Non
597,775,Une femme,De 65 à 74 ans,Non,Français,Non,5,5,5,5,3,3,3,3,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
598,794,Une femme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,4,2,3,2,5,5,3,1,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui
599,795,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,4,2,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
600,796,Un homme,De 65 à 74 ans,Oui,Anglais,Non,4,3,4,3,5,5,5,5,5,5,4,2,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui
601,797,Une femme,De 18 à 24 ans,Non,Français,Oui,5,5,5,5,5,3,4,3,4,4,2,2,Non,Oui,Oui,Non,Non,Non,Non,Non,Non
602,798,Un homme,De 18 à 24 ans,Oui,Français,Non,4,4,3,3,3,2,2,2,4,4,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
603,799,Un homme,De 55 à 64 ans,Non,Italien,Non,5,4,4,3,5,5,5,5,2,2,4,3,Non,Oui,Non,Non,Non,Non,Non,Non,Oui
604,800,Une femme,75 ans ou plus,Oui,Français,Non,5,5,5,5,1,1,1,1,5,5,4,1,Non,Non,Non,Non,Non,Non,Non,Oui,Non
605,801,Une femme,De 18 à 24 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,4,4,4,Non,Non,Non,Non,Non,Non,Oui,Non,Non
606,802,Un homme,De 35 à 44 ans,Oui,Français,Non,5,5,5,4,3,2,3,2,5,5,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
607,803,Un homme,De 65 à 74 ans,Oui,Français,Non,5,4,5,4,3,2,3,2,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
608,804,Un homme,De 45 à 54 ans,Non,Français,Non,5,5,5,5,5,5,5,5,5,5,5,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
609,805,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,4,5,5,5,5,5,4,3,2,Non,Oui,Non,Non,Oui,Non,Non,Non,Non
610,806,Un homme,75 ans ou plus,Oui,Français,Non,5,5,5,5,4,3,4,2,5,5,4,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
611,807,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,4,4,2,3,2,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
612,808,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,5,2,4,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
613,809,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,5,4,5,4,1,1,3,3,Oui,Non,Non,Non,Non,Non,Non,Non,Non
614,811,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,4,2,3,2,5,4,5,3,Oui,Non,Non,Non,Non,Non,Non,Non,Non
615,812,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,1,2,5,1,Non,Non,Non,Non,Non,Je ne sais pas,Non,Non,Non
616,813,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,4,5,4,5,4,5,1,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
617,814,Un homme,De 65 à 74 ans,Oui,Anglais,Non,3,4,4,3,5,5,5,5,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
618,815,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,5,5,5,4,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
619,816,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,2,2,2,2,5,4,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
620,817,Une femme,De 18 à 24 ans,Oui,Anglais,Oui,5,5,5,4,5,5,5,5,5,5,4,1,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui
621,818,Un homme,De 45 à 54 ans,Oui,Anglais,Non,4,4,4,3,5,5,5,5,5,4,3,2,Non,Oui,Non,Oui,Oui,Non,Non,Non,Oui
622,819,Une femme,De 25 à 34 ans,Non,Polonais,Non,5,5,5,5,5,5,5,5,5,5,1,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
623,820,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,5,4,4,5,5,5,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
624,821,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,3,2,3,2,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
625,822,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,5,5,5,4,4,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
626,823,Une femme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,5,4,4,4,4,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
627,824,Une femme,De 55 à 64 ans,Oui,Français,Non,5,4,4,3,3,2,2,2,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
628,825,Une femme,De 45 à 54 ans,Oui,Anglais,Non,2,2,2,1,5,5,5,5,2,2,2,2,Non,Non,Non,Non,Non,Non,Non,Non,Je ne sais pas
629,826,Un homme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,4,4,3,3,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
630,827,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,4,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
631,828,Un homme,De 55 à 64 ans,Oui,Anglais,Non,4,4,4,2,5,5,5,5,1,5,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
632,829,Une femme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,5,4,4,4,5,4,4,3,Oui,Non,Non,Non,Non,Non,Non,Non,Non
633,830,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,3,3,4,3,5,4,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
634,831,Un homme,De 65 à 74 ans,Oui,Anglais et français,Non,4,4,4,4,4,4,4,4,5,5,3,2,Non,Non,Non,Non,Je ne sais pas,Je ne sais pas,Je ne sais pas,Non,Non
635,832,Une femme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
636,833,Une femme,De 55 à 64 ans,Oui,Français,Non,5,5,5,4,4,4,3,3,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
637,834,Une femme,75 ans ou plus,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
638,835,Une femme,De 35 à 44 ans,Non,Français,Non,5,5,5,5,4,5,4,3,5,4,5,4,Non,Oui,Non,Non,Je ne sais pas,Non,Non,Non,Oui
639,837,Un homme,De 25 à 34 ans,Non,Français,Non,5,5,5,5,5,5,5,5,5,5,5,2,Non,Oui,Non,Non,Non,Non,Non,Non,Oui
640,838,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,5,2,5,2,5,1,5,1,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui
641,839,Une femme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,4,3,3,3,5,4,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
642,840,Un homme,De 35 à 44 ans,Non,Espagnol,Oui,4,4,4,4,4,4,4,4,5,5,3,2,Non,Oui,Non,Non,Non,Non,Non,Non,Non
643,841,Une femme,De 18 à 24 ans,Non,Anglais,Non,3,2,3,2,5,5,5,5,2,4,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
644,842,Une femme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,2,2,2,2,5,4,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
647,846,Un homme,75 ans ou plus,Oui,Ukrainien,Non,3,2,3,2,5,5,5,4,5,5,1,4,Non,Non,Non,Non,Non,Non,Non,Non,Oui
648,848,Une femme,De 65 à 74 ans,Non,Anglais,Oui,1,1,1,1,5,5,5,5,5,5,5,1,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui
649,849,Un homme,De 45 à 54 ans,Non,Anglais,Oui,5,4,4,4,5,5,5,5,5,5,4,2,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui
650,850,Une femme,De 25 à 34 ans,Oui,Français,Oui,5,5,4,4,4,3,4,3,4,2,4,1,Je ne sais pas,Non,Oui,Oui,Je ne sais pas,Je ne sais pas,Oui,Je ne sais pas,Oui
651,851,Un homme,De 45 à 54 ans,Oui,Anglais,Oui,2,2,1,1,5,5,5,5,5,2,5,1,Non,Non,Oui,Non,Non,Non,Non,Non,Non
652,852,Un homme,De 55 à 64 ans,Oui,Anglais,Non,4,4,4,3,5,5,5,5,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
653,853,Une femme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,1,1,1,1,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
654,854,Une femme,De 35 à 44 ans,Oui,Anglais,Non,4,3,3,2,5,5,5,5,5,5,4,3,Je ne sais pas,Non,Non,Non,Non,Non,Non,Non,Je ne sais pas
655,855,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,4,3,3,2,2,4,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
656,856,Une femme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
657,857,Une femme,De 45 à 54 ans,Oui,Chinois,Oui,2,2,2,1,5,5,5,5,4,2,2,2,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui
658,858,Un homme,75 ans ou plus,Oui,Anglais,Non,5,5,5,5,5,5,5,5,4,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
659,859,Une femme,De 55 à 64 ans,Oui,Anglais,Non,3,3,2,2,5,5,5,5,5,4,4,1,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui
660,860,Une femme,75 ans ou plus,Oui,Anglais,Non,4,3,4,3,5,5,5,5,5,5,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
661,861,Une femme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,4,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
662,862,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,3,3,3,3,4,4,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
663,863,Un homme,De 55 à 64 ans,Oui,Français,Non,5,4,5,5,3,3,4,3,5,2,4,2,Non,Non,Non,Non,Non,Non,Oui,Non,Non
664,864,Un homme,75 ans ou plus,Oui,Français,Non,5,4,5,5,5,4,4,4,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
665,865,Une femme,De 25 à 34 ans,Oui,Anglais,Oui,4,4,4,4,5,5,5,5,5,4,5,1,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui
666,867,Une femme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,2,2,3,2,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
667,868,Un homme,De 55 à 64 ans,Oui,Anglais,Non,5,4,3,3,5,5,5,5,5,5,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
668,869,Un homme,De 35 à 44 ans,Oui,Français,Oui,5,5,5,5,2,2,2,2,2,1,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
669,870,Une femme,De 55 à 64 ans,Oui,Anglais,Non,4,4,3,3,5,5,5,5,5,4,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
670,871,Un homme,De 45 à 54 ans,Oui,Français,Non,5,4,5,4,5,4,4,3,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
671,872,Un homme,De 45 à 54 ans,Non,Français,Non,5,5,5,5,5,5,5,5,5,1,3,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
672,873,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,5,4,5,4,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
673,874,Une femme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,3,2,3,2,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
674,875,Une femme,De 55 à 64 ans,Oui,Anglais,Non,4,4,4,3,5,5,5,5,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
675,876,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,2,2,2,1,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
676,877,Un homme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
677,878,Une femme,De 55 à 64 ans,Oui,Anglais,Non,4,4,4,3,5,5,5,5,4,4,5,2,Non,Non,Non,Non,Non,Non,Non,Oui,Oui
678,879,Une femme,De 65 à 74 ans,Oui,Anglais,Non,5,5,5,5,5,5,5,5,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
679,880,Une femme,De 45 à 54 ans,Oui,Grecque,Non,5,4,5,5,5,5,5,5,5,5,3,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
680,881,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,4,3,3,3,2,4,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
681,882,Une femme,De 18 à 24 ans,Non,Anglais,Oui,2,1,2,1,5,5,5,5,2,4,4,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
682,883,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,4,3,3,3,3,3,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Je ne sais pas,Non
683,885,Une femme,De 35 à 44 ans,Oui,Anglais,Oui,3,2,3,2,5,5,5,5,4,3,5,8,Oui,Oui,Oui,Oui,Oui,Oui,Je ne sais pas,Je ne sais pas,Oui
684,886,Un homme,75 ans ou plus,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,5,8,Non,Non,Non,Non,Non,Non,Non,Non,Non
685,887,Un homme,De 55 à 64 ans,Oui,Anglais,Non,3,2,2,2,5,5,5,5,2,2,2,4,Non,Non,Non,Non,Non,Non,Non,Non,Oui
686,888,Une femme,De 25 à 34 ans,Non,Français,Oui,4,4,4,4,3,3,3,2,1,1,4,3,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Oui
687,889,Un homme,75 ans ou plus,Oui,Anglais,Non,3,3,3,3,5,5,5,5,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Oui,Non
688,890,Une femme,De 55 à 64 ans,Oui,Français,Non,5,4,5,4,2,2,2,2,4,4,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
689,891,Une femme,De 18 à 24 ans,Oui,Français,Oui,5,5,5,4,5,5,4,4,5,4,4,2,Non,Oui,Non,Non,Oui,Non,Oui,Non,Oui
690,892,Une femme,De 18 à 24 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
691,895,Un homme,De 45 à 54 ans,Oui,Français,Non,4,4,4,4,3,3,3,3,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
692,896,Un homme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,4,4,2,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non
693,897,Un homme,De 55 à 64 ans,Oui,Anglais,Non,5,5,5,5,5,5,5,5,5,4,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
694,898,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,5,5,4,3,5,5,5,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
695,899,Un homme,De 55 à 64 ans,Non,Français,Oui,5,5,5,5,4,4,4,4,5,5,4,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
696,900,Un homme,De 35 à 44 ans,Oui,Anglais,Non,2,2,2,2,5,5,5,5,4,2,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Oui
697,901,Un homme,De 25 à 34 ans,Oui,Français,Non,5,5,5,4,4,4,5,4,4,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
698,902,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,5,5,5,4,4,4,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
699,903,Une femme,De 65 à 74 ans,Non,Arménien,Non,5,4,4,3,5,5,5,4,4,4,4,3,Non,Oui,Non,Je ne sais pas,Je ne sais pas,Non,Non,Non,Oui
700,904,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,4,4,4,4,4,4,4,4,3,Oui,Non,Non,Non,Non,Non,Non,Non,Non
701,905,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,4,4,4,4,3,4,5,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
702,906,Un homme,De 65 à 74 ans,Oui,Français,Non,5,4,5,4,2,2,2,1,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
703,907,Une femme,De 45 à 54 ans,Oui,Anglais,Non,4,3,4,3,5,5,5,5,4,1,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Oui
704,908,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,4,5,5,5,5,5,4,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
705,909,Une femme,De 45 à 54 ans,Oui,Français,Non,4,4,4,4,5,4,3,3,2,4,3,3,Non,Oui,Non,Oui,Oui,Non,Non,Non,Oui
706,910,Un homme,De 35 à 44 ans,Oui,Anglais,Oui,5,5,5,5,5,5,5,5,5,4,4,2,Non,Non,Oui,Non,Non,Non,Non,Oui,Non
707,911,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,3,3,4,3,1,4,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
708,912,Une femme,De 18 à 24 ans,Oui,Cantonais,Oui,5,4,5,4,5,5,5,5,5,5,1,3,Je ne sais pas,Non,Non,Non,Non,Non,Je ne sais pas,Non,Non
709,913,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,4,3,4,3,5,5,3,3,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Je ne sais pas
710,914,Un homme,De 45 à 54 ans,Non,Français,Non,5,5,5,5,3,2,3,2,5,5,4,3,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui
