,record,sexe,age,NAISS,LANGUE,MINO,Q2r1,Q2r2,Q2r3,Q2r4,Q2r5,Q2r6,Q2r7,Q2r8,Q42,Q46,Q47,Q47B,Q52r1,Q52r2,Q52r3,Q52r4,Q52r5,Q52r6,Q52r7,Q52r8,Q52r9
37,49,Autre,De 18 à 24 ans,Oui,Français,Non,5,5,5,4,3,2,3,3,1,4,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
38,50,Une femme,De 25 à 34 ans,Non,Français,Non,5,5,5,5,5,5,5,5,5,2,2,3,Oui,Non,Non,Non,Je ne sais pas,Oui,Oui,Non,Oui
39,51,Un homme,De 35 à 44 ans,Non,Espagnol,Oui,4,4,4,3,3,3,4,3,4,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Oui
40,52,Une femme,De 25 à 34 ans,Oui,Français,Oui,4,3,4,4,4,3,3,4,4,4,4,1,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,Non
41,53,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,2,1,2,1,5,5,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
42,54,Une femme,De 25 à 34 ans,Oui,Anglais,Non,4,3,3,3,5,5,5,5,4,2,4,2,Oui,Non,Non,Oui,Non,Non,Non,Oui,Oui
43,55,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,5,4,4,3,4,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
44,56,Un homme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,4,4,4,3,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
45,57,Une femme,De 55 à 64 ans,Oui,Italien,Non,4,4,4,3,5,5,5,5,4,3,2,2,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre
46,58,Une femme,De 35 à 44 ans,Non,Je préfère ne pas répondre,Je préfère ne pas répondre,3,3,2,2,4,4,4,4,4,3,3,8,Non,Non,Non,Non,Non,Non,Non,Non,Non
47,59,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,3,3,3,3,2,4,4,2,Je ne sais pas,Oui,Oui,Non,Non,Oui,Oui,Non,Non
48,60,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,3,2,3,2,4,2,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
49,61,Un homme,De 65 à 74 ans,Oui,Anglais,Non,5,5,5,5,5,5,5,5,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
50,62,Une femme,De 18 à 24 ans,Oui,Français,Non,5,5,5,4,5,4,5,4,5,5,5,3,Non,Non,Non,Non,Non,Non,Oui,Non,Non
51,63,Une femme,De 45 à 54 ans,Non,Espagnol,Oui,5,5,5,4,4,3,4,3,5,5,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
52,64,Une femme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,5,3,3,3,5,5,4,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
53,65,Une femme,De 18 à 24 ans,Oui,Anglais,Non,3,3,3,2,5,5,5,4,5,2,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Oui
54,66,Une femme,De 18 à 24 ans,Oui,Français,Non,5,5,5,5,3,3,3,3,5,5,5,3,Non,Non,Non,Non,Non,Non,Oui,Non,Oui
55,67,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,4,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
56,100,Une femme,De 25 à 34 ans,Oui,Français,Non,5,4,5,4,4,4,4,4,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
57,101,Un homme,De 45 à 54 ans,Non,Français,Non,5,5,5,5,4,3,4,4,5,2,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
58,102,Un homme,De 18 à 24 ans,Non,Arabe,Non,4,4,4,4,4,4,4,4,4,2,4,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
59,103,Un homme,De 45 à 54 ans,Oui,Français,Non,3,3,3,3,3,3,3,3,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
60,104,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
61,105,Un homme,De 35 à 44 ans,Oui,Français,Non,5,4,5,4,5,4,5,3,2,2,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
62,106,Une femme,De 35 à 44 ans,Oui,Français,Non,5,4,5,4,2,2,2,2,5,4,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
63,107,Un homme,De 35 à 44 ans,Oui,Français,Non,5,4,5,4,5,4,4,3,2,2,5,3,Non,Non,Non,Oui,Non,Non,Oui,Non,Non
64,108,Un homme,De 25 à 34 ans,Non,Anglais,Oui,2,2,2,2,3,3,3,2,1,1,4,3,Non,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui
65,110,Une femme,De 45 à 54 ans,Oui,Anglais,Non,5,5,5,5,5,5,5,5,5,2,4,4,Oui,Non,Non,Non,Non,Non,Non,Non,Oui
67,113,Un homme,De 55 à 64 ans,Oui,Anglais,Non,5,5,5,5,5,5,5,5,5,4,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
68,114,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,5,3,Oui,Non,Non,Non,Non,Non,Non,Non,Oui
69,115,Un homme,De 55 à 64 ans,Oui,Italien,Non,5,5,5,4,5,5,5,5,5,5,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
70,116,Un homme,De 55 à 64 ans,Oui,Anglais,Non,4,3,4,3,5,5,5,5,5,4,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
71,117,Une femme,De 35 à 44 ans,Oui,Anglais,Non,4,4,4,3,5,5,5,5,4,2,4,3,Oui,Non,Non,Oui,Non,Non,Oui,Non,Oui
72,118,Une femme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,5,5,5,3,5,1,4,9,Non,Non,Non,Non,Non,Non,Non,Je préfère ne pas répondre,Non
73,119,Un homme,De 65 à 74 ans,Non,Français,Non,5,5,5,5,5,5,5,5,5,5,2,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
74,120,Une femme,De 65 à 74 ans,Oui,Anglais,Non,5,5,5,5,5,5,5,5,4,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
75,121,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,3,3,3,3,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
76,122,Un homme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,4,3,4,4,1,2,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
77,123,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,3,2,4,3,5,4,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
