Geography,Year,Sex,Age,Prevalence Rate,Prevalent Cases,Population,Standard Error,Standard Score,Alberta Rate
Z1,2004,MALE,55to59,5.6696,374.29689619,6601.870745,0.28462,-1.851,6.19651
Z1,2004,MALE,60to64,6.041,309.98992483,5131.4231705,0.33259,-2.648,6.92162
Z1,2004,MALE,65to69,7.1176,301.76762256,4239.7220246,0.39488,-2.881,8.25509
Z1,2004,MALE,70to74,8.0444,317.80100845,3950.6051766,0.43272,-3.292,9.46866
Z1,2004,MALE,75to79,9.219,280.40573475,3041.610656,0.52455,-3.373,10.98852
Z1,2004,MALE,80to84,10.319,220.2233322,2134.2372753,0.65848,-2.409,11.90467
Z1,2004,MALE,85+,10.167,147.39059704,1449.6939128,0.79374,-1.216,11.13201
Z1,2004,MALE,ALL,11.349,14840.349535,130764.31895,0.08772,8.146,10.63441
Z1,2005,BOTH,00to39,14.249,21061.65998,147808.01359,0.09092,14.187,12.9594
Z1,2005,BOTH,40to44,8.1552,1608.0009329,19717.387662,0.1949,0.095,8.13668
Z1,2005,BOTH,45to49,7.7746,1556.892784,20025.340688,0.18922,-1.533,8.06468
Z1,2005,BOTH,50to54,7.6294,1314.5226465,17229.788325,0.20224,-2.647,8.16479
Z1,2005,BOTH,55to59,7.8765,1113.7105798,14139.687996,0.22653,-2.263,8.38908
Z1,2005,BOTH,60to64,8.4054,923.19528307,10983.411935,0.26476,-2.429,9.04851
Z1,2005,BOTH,65to69,8.6203,765.40903204,8879.161713,0.29785,-3.678,9.71576
Z1,2005,BOTH,70to74,9.1771,756.14920011,8239.4949028,0.31805,-4.239,10.52533
Z1,2005,BOTH,75to79,9.5478,675.32456869,7073.1015014,0.34943,-5.052,11.31301
Z1,2005,BOTH,80to84,9.8527,523.67139412,5315.0289577,0.40879,-4.704,11.77572
Z1,2005,BOTH,85+,9.6833,446.75577408,4613.6878787,0.43538,-3.115,11.03964
Z1,2005,BOTH,ALL,11.645,30745.292175,264024.10515,0.06243,7.441,11.18035
Z1,2005,FEMALE,00to39,13.166,9310.805409,70721.120081,0.12714,7.56,12.2043
Z1,2005,FEMALE,40to44,9.8283,948.40029082,9649.6937652,0.30305,0.04,9.81613
Z1,2005,FEMALE,45to49,9.6389,952.19038652,9878.6187812,0.29693,-1.163,9.98416
Z1,2005,FEMALE,50to54,9.3659,799.40364681,8535.2122016,0.31537,-2.46,10.14162
Z1,2005,FEMALE,55to59,9.835,705.53392869,7173.7043447,0.35159,-1.677,10.42479
Z1,2005,FEMALE,60to64,10.409,583.61158892,5606.8898226,0.40782,-1.553,11.04233
Z1,2005,FEMALE,65to69,9.9921,458.6259082,4589.8891592,0.44266,-2.331,11.02411
Z1,2005,FEMALE,70to74,10.325,440.70226274,4268.4598875,0.46573,-2.262,11.37809
Z1,2005,FEMALE,75to79,9.8373,383.44992272,3897.9124044,0.47702,-3.797,11.64862
