Geography,Year,Sex,Age,Prevalence Rate,Prevalent Cases,Population,Standard Error,Standard Score,Alberta Rate
Z1,2009,FEMALE,70to74,10.977,482.3024075,4393.7224237,0.4716,-2.444,12.12965
Z1,2009,FEMALE,75to79,10.745,424.09418045,3947.0407257,0.49292,-3.278,12.36047
Z1,2009,FEMALE,80to84,10.719,350.26729139,3267.6409106,0.54118,-2.843,12.2579
Z1,2009,FEMALE,85+,9.7164,349.34187387,3595.4009872,0.49395,-4.087,11.73525
Z1,2009,FEMALE,ALL,12.247,17164.060522,140151.9687,0.08757,6.399,11.68638
Z1,2009,MALE,00to39,15.734,12897.000685,81967.810251,0.12718,15.568,13.75421
Z1,2009,MALE,40to44,7.3342,662.59965194,9034.4224558,0.27427,1.284,6.98201
Z1,2009,MALE,45to49,7.1595,762.03506915,10643.714624,0.2499,1.038,6.9001
Z1,2009,MALE,50to54,6.6149,668.92673749,10112.390322,0.24716,-0.528,6.74531
Z1,2009,MALE,55to59,6.8297,578.80135541,8474.7082142,0.27402,-1.03,7.11203
Z1,2009,MALE,60to64,6.6291,450.31684023,6793.033966,0.30186,-2.102,7.26358
Z1,2009,MALE,65to69,6.9334,354.00553675,5105.8091594,0.3555,-3.586,8.20823
Z1,2009,MALE,70to74,8.6209,343.50407273,3984.5661201,0.44464,-2.297,9.64229
Z1,2009,MALE,75to79,9.2796,317.92090954,3426.0322949,0.4957,-2.994,10.76359
Z1,2009,MALE,80to84,10.079,235.04456625,2331.9645251,0.62342,-2.7,11.76255
Z1,2009,MALE,85+,10.331,180.73143451,1749.3652904,0.72771,-2.326,12.02366
Z1,2009,MALE,ALL,12.15,17450.886859,143623.81722,0.08621,11.913,11.12344
Z1,2010,BOTH,00to39,14.71,23404.148893,159101.87961,0.0888,19.123,13.01201
Z1,2010,BOTH,40to44,9.6162,1662.8250145,17291.979306,0.22419,2.966,8.95112
Z1,2010,BOTH,45to49,9.1567,1866.5975392,20384.989893,0.202,0.877,8.97962
Z1,2010,BOTH,50to54,8.8866,1824.7602246,20533.832097,0.19857,-0.673,9.02025
Z1,2010,BOTH,55to59,8.8394,1550.7272276,17543.333194,0.21432,-1.783,9.22153
Z1,2010,BOTH,60to64,9.1372,1319.4733783,14440.660364,0.23978,-2.132,9.64835
Z1,2010,BOTH,65to69,9.7096,1062.6153677,10944.008007,0.28303,-2.762,10.49136
Z1,2010,BOTH,70to74,9.5968,814.78123652,8490.1639966,0.31967,-4.453,11.02026
Z1,2010,BOTH,75to79,10.222,746.73385254,7304.8834525,0.35445,-4.21,11.71473
Z1,2010,BOTH,80to84,10.603,606.54129568,5720.5397237,0.40706,-3.737,12.1239
Z1,2010,BOTH,85+,9.846,535.64991647,5440.2584232,0.40394,-5.052,11.88658
Z1,2010,BOTH,ALL,12.324,35394.853947,287196.52807,0.06134,12.962,11.5292
Z1,2010,FEMALE,00to39,13.411,10274.737811,76613.208524,0.12312,11.023,12.05405
Z1,2010,FEMALE,40to44,11.633,982.12015443,8442.7528846,0.34893,2.3,10.8301
Z1,2010,FEMALE,45to49,11.19,1109.5501813,9915.6659353,0.31658,0.489,11.035
Z1,2010,FEMALE,50to54,11.147,1122.5483807,10070.515882,0.31361,-0.296,11.23976
Z1,2010,FEMALE,55to59,10.819,944.72665173,8731.8428686,0.33242,-1.74,11.39766
Z1,2010,FEMALE,60to64,11.234,828.68110663,7376.2718948,0.36769,-1.724,11.86822
Z1,2010,FEMALE,65to69,11.906,671.26706162,5638.1588157,0.4313,-1.486,12.54688
Z1,2010,FEMALE,70to74,10.707,476.34464424,4449.0068574,0.46356,-3.46,12.3106
Z1,2010,FEMALE,75to79,11.307,439.18668273,3884.2051297,0.50812,-2.428,12.5406
Z1,2010,FEMALE,80to84,10.622,351.88891334,3312.9347701,0.53531,-3.362,12.42154
Z1,2010,FEMALE,85+,9.741,356.31837989,3657.9234837,0.49026,-4.241,11.82012
Z1,2010,FEMALE,ALL,12.356,17557.369967,142092.48705,0.0873,6.175,11.8172
Z1,2010,MALE,00to39,15.917,13129.411083,82488.671087,0.12737,15.711,13.9154
Z1,2010,MALE,40to44,7.6923,680.70486006,8849.2264215,0.28327,1.747,7.19734
Z1,2010,MALE,45to49,7.2311,757.0473579,10469.323957,0.25313,0.716,7.04996
Z1,2010,MALE,50to54,6.7112,702.21184391,10463.316216,0.24461,-0.965,6.94724
Z1,2010,MALE,55to59,6.8774,606.00057586,8811.4903259,0.2696,-1.072,7.16627
Z1,2010,MALE,60to64,6.9474,490.79227164,7064.3884687,0.30251,-1.665,7.4511
Z1,2010,MALE,65to69,7.3758,391.34830612,5305.8491911,0.35883,-2.722,8.35239
Z1,2010,MALE,70to74,8.3747,338.43659228,4041.1571392,0.43575,-2.788,9.58941
Z1,2010,MALE,75to79,8.9908,307.54716981,3420.6783228,0.48909,-3.587,10.74495
Z1,2010,MALE,80to84,10.577,254.65238234,2407.6049537,0.62678,-1.82,11.71799
Z1,2010,MALE,85+,10.062,179.33153658,1782.3349394,0.71254,-2.752,12.02219
Z1,2010,MALE,ALL,12.293,17837.483979,145104.04102,0.0862,12.098,11.25002
Z1,2011,BOTH,00to39,14.78,23579.221277,159531.90827,0.08886,19.016,13.09054
Z1,2011,BOTH,40to44,10.016,1734.162348,17313.807863,0.22816,3.22,9.28144
Z1,2011,BOTH,45to49,9.4864,1863.5019597,19643.908861,0.20907,1.362,9.20165
Z1,2011,BOTH,50to54,9.1669,1886.4205826,20578.684145,0.20115,-0.517,9.27089
Z1,2011,BOTH,55to59,9.2563,1702.2326477,18390.082857,0.21371,-0.799,9.42705
Z1,2011,BOTH,60to64,9.1847,1377.9841993,15003.050919,0.23579,-2.857,9.85835
Z1,2011,BOTH,65to69,9.9761,1125.8237273,11285.22825,0.2821,-2.372,10.6452
Z1,2011,BOTH,70to74,9.5305,830.6304693,8715.4635706,0.31453,-4.868,11.06182
Z1,2011,BOTH,75to79,10.561,769.85270872,7289.8083429,0.35996,-3.575,11.84747
Z1,2011,BOTH,80to84,10.704,621.51019881,5806.1841373,0.40574,-3.453,12.10537
Z1,2011,BOTH,85+,9.8331,551.293299,5606.5234938,0.39767,-5.53,12.0321
Z1,2011,BOTH,ALL,12.464,36042.633418,289164.65071,0.06143,13.095,11.66002
Z1,2011,FEMALE,00to39,13.404,10338.503205,77129.120652,0.12268,10.805,12.07862
Z1,2011,FEMALE,40to44,11.947,1015.9986891,8503.9067165,0.35172,2.338,11.12496
Z1,2011,FEMALE,45to49,11.69,1115.0676787,9538.2591059,0.32899,0.91,11.39122
Z1,2011,FEMALE,50to54,11.209,1132.8828572,10107.099556,0.3138,-0.716,11.43335
Z1,2011,FEMALE,55to59,11.359,1036.1788775,9122.3413756,0.33222,-1.044,11.70549
Z1,2011,FEMALE,60to64,11.259,857.15362574,7613.0552352,0.36227,-2.558,12.18553
Z1,2011,FEMALE,65to69,12.07,705.20873183,5842.6984611,0.4262,-1.558,12.73373
Z1,2011,FEMALE,70to74,10.829,494.34829753,4565.1022019,0.45992,-3.637,12.50137
Z1,2011,FEMALE,75to79,11.89,459.86646318,3867.6992399,0.52045,-1.821,12.83783
Z1,2011,FEMALE,80to84,11.134,371.17739356,3333.7231423,0.54479,-2.758,12.63628
Z1,2011,FEMALE,85+,9.5846,359.66007694,3752.4710257,0.48056,-4.998,11.98666
Z1,2011,FEMALE,ALL,12.475,17886.045896,143375.47671,0.08727,5.968,11.95414
Z1,2011,MALE,00to39,16.068,13240.718073,82402.787616,0.12793,15.761,14.052
Z1,2011,MALE,40to44,8.1518,718.1636589,8809.9011466,0.29153,2.062,7.55055
Z1,2011,MALE,45to49,7.4061,748.43428106,10105.649755,0.2605,0.963,7.15528
Z1,2011,MALE,50to54,7.196,753.53772546,10471.58459,0.25254,-0.215,7.2502
Z1,2011,MALE,55to59,7.1868,666.05377019,9267.7414813,0.26828,-0.361,7.28366
Z1,2011,MALE,60to64,7.0478,520.83057355,7389.9956842,0.29774,-1.735,7.56429
Z1,2011,MALE,65to69,7.7283,420.61499548,5442.529789,0.36197,-2.073,8.47852
Z1,2011,MALE,70to74,8.1025,336.28217178,4150.3613687,0.42356,-3.221,9.46661
Z1,2011,MALE,75to79,9.0583,309.98624553,3422.109103,0.49064,-3.315,10.68502
Z1,2011,MALE,80to84,10.125,250.33280524,2472.4609951,0.60667,-2.092,11.39385
Z1,2011,MALE,85+,10.336,191.63322206,1854.0524681,0.70701,-2.529,12.12382
Z1,2011,MALE,ALL,12.454,18156.587522,145789.174,0.08648,12.491,11.3738
Z1,2012,BOTH,00to39,14.684,23596.47173,160691.53178,0.0883,19.351,12.97567
Z1,2012,BOTH,40to44,10.419,1793.9060341,17217.088277,0.23283,4.045,9.47741
Z1,2012,BOTH,45to49,9.6391,1815.3449836,18833.092885,0.21505,1.169,9.38771
Z1,2012,BOTH,50to54,9.5513,1970.3699288,20629.29699,0.20464,0.116,9.5276
Z1,2012,BOTH,55to59,9.4153,1782.3047422,18929.826828,0.21226,-1.002,9.62811
Z1,2012,BOTH,60to64,9.4324,1439.7838075,15264.264951,0.23657,-2.529,10.03068
Z1,2012,BOTH,65to69,10.041,1216.4805207,12114.823765,0.27306,-2.534,10.73333
Z1,2012,BOTH,70to74,9.699,869.35981471,8963.3881464,0.31259,-5.048,11.27694
Z1,2012,BOTH,75to79,10.136,734.46941518,7246.0967693,0.35455,-4.863,11.86017
Z1,2012,BOTH,80to84,11.017,650.25142576,5902.4508877,0.40753,-3.472,12.43143
Z1,2012,BOTH,85+,9.8931,571.17218315,5773.4402,0.39294,-5.758,12.15569
Z1,2012,BOTH,ALL,12.498,36439.914586,291565.30148,0.06124,13.319,11.68234
Z1,2012,FEMALE,00to39,13.275,10311.339622,77673.12774,0.12175,11.047,11.93033
Z1,2012,FEMALE,40to44,12.228,1036.7793178,8478.6093714,0.35579,2.407,11.37174
Z1,2012,FEMALE,45to49,11.973,1101.8757924,9203.0859524,0.33841,1.12,11.59384
Z1,2012,FEMALE,50to54,11.689,1182.3623903,10115.495567,0.31945,-0.236,11.76389
Z1,2012,FEMALE,55to59,11.671,1103.6434986,9456.5490018,0.33017,-0.849,11.95093
Z1,2012,FEMALE,60to64,11.146,859.78005614,7713.6006905,0.35832,-3.241,12.30779
Z1,2012,FEMALE,65to69,12.334,770.9737345,6250.9327559,0.4159,-1.266,12.86017
Z1,2012,FEMALE,70to74,11.388,532.51260735,4676.1598766,0.46454,-3.247,12.8964
Z1,2012,FEMALE,75to79,11.441,442.88975722,3871.1893091,0.51159,-3.056,13.00402
Z1,2012,FEMALE,80to84,11.544,384.31495777,3329.2706415,0.55381,-2.598,12.98221
Z1,2012,FEMALE,85+,9.5582,367.6274311,3846.2020811,0.47409,-5.343,12.09104
Z1,2012,FEMALE,ALL,12.512,18094.099166,144614.22299,0.087,6.115,11.97999
Z1,2012,MALE,00to39,16.003,13285.132108,83018.404044,0.12725,15.982,13.96903
Z1,2012,MALE,40to44,8.6643,757.12671638,8738.4789054,0.30093,3.204,7.7002
Z1,2012,MALE,45to49,7.4088,713.46919123,9630.0069329,0.2669,0.336,7.31901
Z1,2012,MALE,50to54,7.495,788.00753851,10513.801423,0.2568,0.284,7.4221
Z1,2012,MALE,55to59,7.164,678.6612436,9473.2778264,0.26496,-1.032,7.4374
Z1,2012,MALE,60to64,7.6815,580.00375134,7550.6642601,0.30646,-0.365,7.79334
Z1,2012,MALE,65to69,7.5975,445.50678624,5863.8910092,0.34601,-2.729,8.54163
Z1,2012,MALE,70to74,7.857,336.84720736,4287.2282698,0.41093,-3.995,9.49867
Z1,2012,MALE,75to79,8.6396,291.57965797,3374.9074602,0.48361,-3.888,10.51976
Z1,2012,MALE,80to84,10.335,265.936468,2573.1802462,0.60011,-2.282,11.70439
Z1,2012,MALE,85+,10.561,203.54475206,1927.238119,0.70009,-2.457,12.28194
Z1,2012,MALE,ALL,12.484,18345.815421,146951.0785,0.08623,12.661,11.39263
Z1,2013,BOTH,00to39,14.625,23654.877009,161742.89619,0.08786,20.751,12.80178
Z1,2013,BOTH,40to44,10.459,1820.6261892,17406.854426,0.23195,3.273,9.70005
Z1,2013,BOTH,45to49,10.15,1837.8309868,18105.886474,0.22444,2.41,9.6096
Z1,2013,BOTH,50to54,10.005,2053.9875764,20529.60849,0.20942,1.162,9.76175
Z1,2013,BOTH,55to59,9.7107,1882.5336011,19386.268413,0.21266,-0.494,9.81568
Z1,2013,BOTH,60to64,9.4169,1482.250784,15740.286222,0.23279,-3.374,10.20247
Z1,2013,BOTH,65to69,10.135,1290.3792316,12731.879394,0.26746,-2.098,10.69629
Z1,2013,BOTH,70to74,9.9943,935.9544545,9364.8371655,0.30993,-4.305,11.32863
Z1,2013,BOTH,75to79,10.371,756.90532996,7298.0023344,0.35689,-4.704,12.05027
Z1,2013,BOTH,80to84,10.983,646.44614141,5885.901501,0.40756,-3.355,12.35042
Z1,2013,BOTH,85+,10.132,605.76531836,5978.5691407,0.39026,-5.637,12.33225
Z1,2013,BOTH,ALL,12.567,36967.556622,294170.98975,0.06112,14.758,11.66477
Z1,2013,FEMALE,00to39,13.175,10302.86932,78198.567366,0.12095,11.642,11.76715
Z1,2013,FEMALE,40to44,12.404,1055.2212381,8507.0055872,0.35739,2.047,11.67254
Z1,2013,FEMALE,45to49,12.349,1101.314556,8917.9126471,0.34839,1.706,11.75494
Z1,2013,FEMALE,50to54,12.356,1248.8988189,10107.818178,0.32732,0.965,12.04007
Z1,2013,FEMALE,55to59,12.1,1180.3257338,9754.4478113,0.33021,-0.22,12.17293
Z1,2013,FEMALE,60to64,11.023,869.44688216,7887.7625665,0.35262,-4.017,12.43922
Z1,2013,FEMALE,65to69,12.27,809.81086092,6599.8523887,0.40386,-1.578,12.90762
Z1,2013,FEMALE,70to74,12.082,585.15999377,4843.0729618,0.46833,-2.305,13.16206
Z1,2013,FEMALE,75to79,11.387,445.01904179,3908.015391,0.50814,-3.585,13.20911
Z1,2013,FEMALE,80to84,12.128,399.46981969,3293.8594398,0.5688,-1.572,13.02199
Z1,2013,FEMALE,85+,9.9687,391.13704391,3923.6351971,0.47827,-4.952,12.33732
Z1,2013,FEMALE,ALL,12.6,18388.673309,145941.94953,0.08687,7.082,11.98483
Z1,2013,MALE,00to39,15.982,13352.007689,83544.328827,0.12678,17.353,13.78199
Z1,2013,MALE,40to44,8.6002,765.40495107,8899.8488393,0.29719,2.509,7.85468
Z1,2013,MALE,45to49,8.0161,736.5164308,9187.9738266,0.28329,1.476,7.59787
Z1,2013,MALE,50to54,7.7251,805.08875742,10421.790312,0.26153,0.483,7.59883
Z1,2013,MALE,55to59,7.2905,702.20786731,9631.8206018,0.2649,-1.137,7.59174
Z1,2013,MALE,60to64,7.8039,612.80390187,7852.523656,0.3027,-0.678,8.00909
Z1,2013,MALE,65to69,7.837,480.56837066,6132.0270051,0.3432,-1.714,8.42526
Z1,2013,MALE,70to74,7.7579,350.79446073,4521.7642037,0.39782,-3.97,9.33718
Z1,2013,MALE,75to79,9.2002,311.88628817,3389.9869434,0.49641,-3.019,10.69912
Z1,2013,MALE,80to84,9.5283,246.97632172,2592.0420613,0.57669,-3.373,11.47338
Z1,2013,MALE,85+,10.445,214.62827444,2054.9339436,0.67467,-2.784,12.32265
Z1,2013,MALE,ALL,12.534,18578.883313,148229.04022,0.086,13.721,11.35391
Z1,2014,BOTH,00to39,14.545,23742.164954,163238.03755,0.08726,21.736,12.64781
Z1,2014,BOTH,40to44,10.807,1906.4818112,17640.619031,0.23376,3.696,9.94334
Z1,2014,BOTH,45to49,10.596,1851.3927658,17472.304367,0.23285,3.398,9.8049
Z1,2014,BOTH,50to54,10.209,2081.2662163,20387.31352,0.21204,0.886,10.02087
Z1,2014,BOTH,55to59,9.9802,1966.3147904,19702.229974,0.21354,-0.305,10.04538
Z1,2014,BOTH,60to64,9.656,1582.1528237,16385.150703,0.23074,-3.266,10.40959
Z1,2014,BOTH,65to69,10.154,1351.9654393,13314.285469,0.26177,-2.394,10.78093
Z1,2014,BOTH,70to74,10.308,1017.2101334,9868.2165267,0.30609,-3.918,11.50709
Z1,2014,BOTH,75to79,10.33,768.17125663,7436.460105,0.35293,-4.809,12.02715
Z1,2014,BOTH,80to84,10.791,637.5947286,5908.6765489,0.40363,-4.25,12.50607
Z1,2014,BOTH,85+,10.417,636.68846947,6111.7780781,0.39076,-4.831,12.30507
Z1,2014,BOTH,ALL,12.62,37541.403389,297465.07188,0.06089,15.641,11.66808
Z1,2014,FEMALE,00to39,13.066,10349.897286,79210.12057,0.11975,12.128,11.61407
Z1,2014,FEMALE,40to44,12.916,1102.6057049,8536.9090748,0.36298,2.688,11.94008
Z1,2014,FEMALE,45to49,12.803,1112.5212211,8689.410332,0.35844,2.323,11.97047
Z1,2014,FEMALE,50to54,12.555,1259.7831099,10034.036267,0.33078,0.788,12.29454
Z1,2014,FEMALE,55to59,12.438,1236.5672076,9941.9028256,0.33098,0.011,12.43437
Z1,2014,FEMALE,60to64,11.197,924.43541388,8256.3961969,0.34703,-4.115,12.62445
Z1,2014,FEMALE,65to69,12.357,844.39688194,6833.4623845,0.3981,-1.605,12.99585
Z1,2014,FEMALE,70to74,12.299,632.70744894,5144.4740894,0.45789,-2.55,13.46657
Z1,2014,FEMALE,75to79,11.567,461.35569544,3988.4245845,0.50643,-3.423,13.3007
Z1,2014,FEMALE,80to84,12.055,395.16830574,3278.1094954,0.56869,-2.186,13.29768
Z1,2014,FEMALE,85+,10.106,403.2120579,3989.7224582,0.47719,-4.888,12.43874
Z1,2014,FEMALE,ALL,12.659,18722.650334,147902.96828,0.08646,7.608,12.00091
Z1,2014,MALE,00to39,15.938,13392.267668,84027.916984,0.12627,18.312,13.62564
Z1,2014,MALE,40to44,8.8302,803.87610631,9103.7099561,0.29737,2.534,8.07671
Z1,2014,MALE,45to49,8.4126,738.87154476,8782.8940348,0.29619,2.204,7.75977
Z1,2014,MALE,50to54,7.9345,821.48310638,10353.277253,0.26563,0.313,7.85127
Z1,2014,MALE,55to59,7.4767,729.74758275,9760.3271484,0.26622,-1.147,7.78209
Z1,2014,MALE,60to64,8.0912,657.71740982,8128.7545059,0.30246,-0.494,8.24058
Z1,2014,MALE,65to69,7.8319,507.56855738,6480.8230846,0.33374,-2.008,8.50194
Z1,2014,MALE,70to74,8.1398,384.50268451,4723.7424373,0.39786,-3.162,9.39769
Z1,2014,MALE,75to79,8.8983,306.81556119,3448.0355205,0.48488,-3.396,10.5451
Z1,2014,MALE,80to84,9.2157,242.42642286,2630.5670535,0.56396,-4.031,11.48882
Z1,2014,MALE,85+,11.002,233.47641157,2122.0556199,0.67929,-1.555,12.05891
Z1,2014,MALE,ALL,12.583,18818.753056,149562.1036,0.08576,14.432,11.34494
Z1,2015,BOTH,00to39,14.538,23719.666648,163157.87277,0.08726,21.569,12.6557
Z1,2015,BOTH,40to44,11.454,2038.7376339,17798.601481,0.23871,4.597,10.35723
Z1,2015,BOTH,45to49,10.823,1842.3263325,17022.741934,0.23811,3.063,10.09348
Z1,2015,BOTH,50to54,10.665,2109.5515868,19780.548101,0.21947,1.608,10.31188
Z1,2015,BOTH,55to59,10.006,1994.2030058,19930.058573,0.21256,-1.676,10.36224
Z1,2015,BOTH,60to64,10.184,1738.0756142,17067.519794,0.2315,-1.882,10.61922
Z1,2015,BOTH,65to69,10.39,1453.5111503,13989.193366,0.25798,-2.367,11.00082
Z1,2015,BOTH,70to74,10.638,1094.4045399,10287.873024,0.30398,-3.524,11.70917
Z1,2015,BOTH,75to79,10.121,759.44182422,7503.3827824,0.34819,-5.452,12.01952
Z1,2015,BOTH,80to84,10.804,636.91695032,5895.0919518,0.40432,-4.489,12.6193
Z1,2015,BOTH,85+,10.559,660.67485962,6257.1217629,0.3885,-4.77,12.41205
Z1,2015,BOTH,ALL,12.738,38047.510146,298690.00554,0.061,15.511,11.79192
Z1,2015,FEMALE,00to39,12.985,10295.21264,79287.674806,0.11937,11.76,11.5808
Z1,2015,FEMALE,40to44,13.399,1157.6198051,8639.7688455,0.36647,3.059,12.27774
Z1,2015,FEMALE,45to49,13.058,1103.7665405,8452.9460587,0.36648,2.254,12.23164
Z1,2015,FEMALE,50to54,12.998,1279.4611603,9843.2516862,0.33895,1.29,12.56099
Z1,2015,FEMALE,55to59,12.298,1228.7404338,9990.9918417,0.32857,-1.272,12.71631
Z1,2015,FEMALE,60to64,12.136,1051.2505426,8662.3641762,0.35085,-2.163,12.89485
Z1,2015,FEMALE,65to69,12.416,899.31721226,7243.013962,0.38748,-2.225,13.27862
Z1,2015,FEMALE,70to74,12.729,679.74549995,5340.1982216,0.45609,-2.166,13.71669
Z1,2015,FEMALE,75to79,11.354,454.64104609,4004.3351347,0.50134,-4.036,13.37737
Z1,2015,FEMALE,80to84,12.283,399.4886048,3252.3957667,0.57556,-2.13,13.50873
Z1,2015,FEMALE,85+,10.377,421.03845246,4057.5963849,0.47874,-4.771,12.66083
Z1,2015,FEMALE,ALL,12.751,18970.281938,148774.53688,0.08647,7.455,12.10637
Z1,2015,MALE,00to39,16.006,13424.454008,83870.197959,0.12661,18.416,13.67464
Z1,2015,MALE,40to44,9.6204,881.11782877,9158.8326358,0.30811,3.501,8.54186
Z1,2015,MALE,45to49,8.6182,738.55979207,8569.7958751,0.30315,1.842,8.05992
Z1,2015,MALE,50to54,8.3533,830.09042646,9937.296415,0.27756,0.761,8.1421
Z1,2015,MALE,55to59,7.7016,765.46257201,9939.0667312,0.26743,-1.521,8.1083
Z1,2015,MALE,60to64,8.1715,686.82507151,8405.155618,0.29879,-0.746,8.39423
Z1,2015,MALE,65to69,8.2149,554.193938,6746.1794043,0.33432,-1.319,8.65604
Z1,2015,MALE,70to74,8.3809,414.65903992,4947.6748022,0.39395,-2.977,9.55385
Z1,2015,MALE,75to79,8.711,304.80077813,3499.0476477,0.47672,-3.645,10.44881
Z1,2015,MALE,80to84,8.9843,237.42834553,2642.6961852,0.55626,-4.502,11.48878
Z1,2015,MALE,85+,10.895,239.63640716,2199.5253779,0.66435,-1.616,11.96827
Z1,2015,MALE,ALL,12.725,19077.228208,149915.46865,0.08607,14.404,11.48553
Z1,2016,BOTH,00to39,14.443,23616.934801,163517.48383,0.08693,20.21,12.68616
Z1,2016,BOTH,40to44,12.129,2166.4085825,17861.257173,0.24428,5.47,10.79285
Z1,2016,BOTH,45to49,11.383,1933.7510537,16987.443326,0.24369,3.839,10.448
Z1,2016,BOTH,50to54,10.847,2062.0179371,19010.700927,0.22554,1.246,10.56569
Z1,2016,BOTH,55to59,10.312,2050.2820224,19883.27722,0.21567,-1.733,10.68537
Z1,2016,BOTH,60to64,10.531,1884.2030532,17891.990634,0.22948,-1.268,10.82206
Z1,2016,BOTH,65to69,10.295,1507.3686423,14641.987642,0.25114,-3.616,11.20288
Z1,2016,BOTH,70to74,10.912,1158.3377178,10615.089597,0.30262,-2.982,11.81467
Z1,2016,BOTH,75to79,10.028,772.04226948,7698.5654417,0.34234,-5.875,12.0395
Z1,2016,BOTH,80to84,10.631,625.54135913,5884.0480379,0.40183,-5.26,12.7449
Z1,2016,BOTH,85+,10.347,666.96146812,6445.9704028,0.37935,-5.642,12.48713
Z1,2016,BOTH,ALL,12.796,38443.848907,300437.81423,0.06094,14.259,11.92696
Z1,2016,FEMALE,00to39,12.892,10260.777912,79591.54558,0.11878,11.401,11.53752
Z1,2016,FEMALE,40to44,14.135,1229.0903363,8695.1677803,0.37361,3.982,12.64764
Z1,2016,FEMALE,45to49,13.505,1143.1736182,8465.0953921,0.37147,2.64,12.52384
Z1,2016,FEMALE,50to54,13.203,1256.7776843,9518.8839188,0.34697,1.002,12.85547
Z1,2016,FEMALE,55to59,12.425,1244.6022939,10017.099422,0.32958,-1.521,12.92623
Z1,2016,FEMALE,60to64,12.67,1154.613401,9113.18902,0.34844,-1.228,13.09751
Z1,2016,FEMALE,65to69,12.315,926.3433385,7521.8472049,0.3789,-3.14,13.50513
Z1,2016,FEMALE,70to74,12.81,712.30754481,5560.595692,0.44817,-2.313,13.84638
Z1,2016,FEMALE,75to79,11.458,465.80515397,4065.4835606,0.49953,-4.124,13.51756
Z1,2016,FEMALE,80to84,12.289,400.04553134,3255.2953325,0.57543,-2.726,13.85747
Z1,2016,FEMALE,85+,10.22,420.72265622,4116.8367991,0.47209,-5.36,12.74991
Z1,2016,FEMALE,ALL,12.816,19214.25947,149921.0397,0.08633,7.121,12.20145
Z1,2016,MALE,00to39,15.914,13356.156889,83925.938246,0.12627,16.892,13.78123
Z1,2016,MALE,40to44,10.226,937.3182462,9166.0893923,0.31647,3.851,9.00707
Z1,2016,MALE,45to49,9.2765,790.57743553,8522.3479344,0.31425,2.573,8.46811
Z1,2016,MALE,50to54,8.4835,805.24025279,9491.8170079,0.286,0.508,8.33824
Z1,2016,MALE,55to59,8.1661,805.67972857,9866.1777989,0.2757,-1.246,8.50967
Z1,2016,MALE,60to64,8.3108,729.58965223,8778.8016137,0.29462,-0.917,8.58101
Z1,2016,MALE,65to69,8.1603,581.02530381,7120.1404371,0.32443,-2.082,8.83569
Z1,2016,MALE,70to74,8.8244,446.03017299,5054.493905,0.39897,-2.014,9.62785
Z1,2016,MALE,75to79,8.4291,306.23711551,3633.081881,0.46093,-4.134,10.33466
Z1,2016,MALE,80to84,8.5781,225.49582779,2628.7527055,0.54619,-5.064,11.34385
Z1,2016,MALE,85+,10.572,246.2388119,2329.1336037,0.63712,-2.288,12.02966
Z1,2016,MALE,ALL,12.776,19229.589437,150516.77453,0.08604,12.993,11.65773
Z1,2017,BOTH,00to39,14.406,23707.400913,164569.69356,0.08656,18.979,12.76285
Z1,2017,BOTH,40to44,12.732,2313.6730035,18172.004417,0.24727,6.35,11.16178
Z1,2017,BOTH,45to49,11.969,2033.5703713,16990.513679,0.24902,4.911,10.74597
Z1,2017,BOTH,50to54,11.191,2053.6308901,18350.796241,0.23272,1.4,10.8652
Z1,2017,BOTH,55to59,10.78,2154.016842,19981.145284,0.2194,-1.067,11.01434
Z1,2017,BOTH,60to64,10.746,1983.0264136,18454.382331,0.22797,-1.31,11.04422
Z1,2017,BOTH,65to69,10.508,1569.1454898,14932.234641,0.25096,-3.376,11.3556
Z1,2017,BOTH,70to74,10.971,1258.2772042,11469.034262,0.29183,-3.389,11.96001
Z1,2017,BOTH,75to79,10.313,824.47348784,7994.8718865,0.34013,-5.567,12.20594
Z1,2017,BOTH,80to84,10.515,614.94868743,5848.204833,0.40112,-5.303,12.6421
Z1,2017,BOTH,85+,10.478,684.92654305,6536.814249,0.37881,-5.95,12.73183
Z1,2017,BOTH,ALL,12.924,39197.089846,303299.69538,0.06091,13.8,12.08298
Z1,2017,FEMALE,00to39,12.78,10250.195825,80205.143188,0.11789,10.353,11.55944
Z1,2017,FEMALE,40to44,14.512,1288.2272035,8876.7390017,0.37385,4.363,12.88128
Z1,2017,FEMALE,45to49,14.118,1193.437973,8453.5102588,0.37872,3.304,12.86656
Z1,2017,FEMALE,50to54,13.585,1250.8037017,9207.2839847,0.35707,1.258,13.13578
Z1,2017,FEMALE,55to59,12.986,1305.9498013,10056.926427,0.33519,-0.772,13.2445
Z1,2017,FEMALE,60to64,13.004,1228.5834514,9447.918092,0.34603,-1.011,13.35346
Z1,2017,FEMALE,65to69,12.343,945.25294425,7658.3294119,0.37587,-3.307,13.58594
Z1,2017,FEMALE,70to74,13.274,797.87846794,6010.8470419,0.43763,-1.718,14.02578
Z1,2017,FEMALE,75to79,12.231,517.29284478,4229.1992387,0.50382,-3.234,13.86076
Z1,2017,FEMALE,80to84,12.033,392.53346765,3262.1401884,0.56963,-3.327,13.92832
Z1,2017,FEMALE,85+,10.358,427.45770411,4126.9550342,0.47432,-5.672,13.04828
