"REF_DATE","GEO","DGUID","Knowledge of official languages","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1951","New Brunswick","2016A000213","English only","Number","Number","223","units","0","v1043024544","5.3.1","318560","","","","0"
"1951","New Brunswick","2016A000213","English only","Percentage","Percentage","242","units","0","v1043024545","5.3.2","61.8","","","","1"
"1951","New Brunswick","2016A000213","English and French","Number","Number","223","units","0","v1043024546","5.4.1","96095","","","","0"
"1951","New Brunswick","2016A000213","English and French","Percentage","Percentage","242","units","0","v1043024547","5.4.2","18.6","","","","1"
"1951","New Brunswick","2016A000213","Neither English nor French","Number","Number","223","units","0","v1043024548","5.5.1","330","","","","0"
"1951","New Brunswick","2016A000213","Neither English nor French","Percentage","Percentage","242","units","0","v1043024549","5.5.2","0.1","","","","1"
"1951","Quebec","2016A000224","Total, knowledge of official languages","Number","Number","223","units","0","v1043024550","6.1.1","4055681","","","","0"
"1951","Quebec","2016A000224","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024551","6.1.2","100.0","","","","1"
"1951","Quebec","2016A000224","French only","Number","Number","223","units","0","v1043024552","6.2.1","2534242","","","","0"
"1951","Quebec","2016A000224","French only","Percentage","Percentage","242","units","0","v1043024553","6.2.2","62.5","","","","1"
"1951","Quebec","2016A000224","English only","Number","Number","223","units","0","v1043024554","6.3.1","462813","","","","0"
"1951","Quebec","2016A000224","English only","Percentage","Percentage","242","units","0","v1043024555","6.3.2","11.4","","","","1"
"1951","Quebec","2016A000224","English and French","Number","Number","223","units","0","v1043024556","6.4.1","1038130","","","","0"
"1951","Quebec","2016A000224","English and French","Percentage","Percentage","242","units","0","v1043024557","6.4.2","25.6","","","","1"
"1951","Quebec","2016A000224","Neither English nor French","Number","Number","223","units","0","v1043024558","6.5.1","20496","","","","0"
"1951","Quebec","2016A000224","Neither English nor French","Percentage","Percentage","242","units","0","v1043024559","6.5.2","0.5","","","","1"
"1951","Ontario","2016A000235","Total, knowledge of official languages","Number","Number","223","units","0","v1043024560","7.1.1","4597542","","","","0"
"1951","Ontario","2016A000235","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024561","7.1.2","100.0","","","","1"
"1951","Ontario","2016A000235","French only","Number","Number","223","units","0","v1043024562","7.2.1","78974","","","","0"
"1951","Ontario","2016A000235","French only","Percentage","Percentage","242","units","0","v1043024563","7.2.2","1.7","","","","1"
"1951","Ontario","2016A000235","English only","Number","Number","223","units","0","v1043024564","7.3.1","4115584","","","","0"
"1951","Ontario","2016A000235","English only","Percentage","Percentage","242","units","0","v1043024565","7.3.2","89.5","","","","1"
"1951","Ontario","2016A000235","English and French","Number","Number","223","units","0","v1043024566","7.4.1","359965","","","","0"
"1951","Ontario","2016A000235","English and French","Percentage","Percentage","242","units","0","v1043024567","7.4.2","7.8","","","","1"
"1951","Ontario","2016A000235","Neither English nor French","Number","Number","223","units","0","v1043024568","7.5.1","43019","","","","0"
"1951","Ontario","2016A000235","Neither English nor French","Percentage","Percentage","242","units","0","v1043024569","7.5.2","0.9","","","","1"
"1951","Manitoba","2016A000246","Total, knowledge of official languages","Number","Number","223","units","0","v1043024570","8.1.1","776541","","","","0"
"1951","Manitoba","2016A000246","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024571","8.1.2","100.0","","","","1"
